Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.061000, -0.008102, -0.008102, 0.420645, -0.918679, -0.964042, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.061000, -0.006325, -0.006325, 0.420741, -0.918808, -0.964225, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.061000, -0.008430, -0.008430, 0.420837, -0.918712, -0.964418, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.061000, -0.006648, -0.006648, 0.420933, -0.918841, -0.964600, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.062000, -0.008728, -0.008728, 0.421030, -0.918745, -0.964793, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.062000, -0.006941, -0.006941, 0.421126, -0.918874, -0.964974, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.062000, -0.009006, -0.009006, 0.421223, -0.918778, -0.965166, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.062000, -0.007214, -0.007214, 0.421320, -0.918907, -0.965347, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.063000, -0.009253, -0.009253, 0.421417, -0.918812, -0.965538, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.063000, -0.007456, -0.007456, 0.421513, -0.918939, -0.965718, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.063000, -0.009482, -0.009482, 0.421611, -0.918844, -0.965907, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.063000, -0.007680, -0.007680, 0.421707, -0.918972, -0.966086, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.064000, -0.009678, -0.009678, 0.421804, -0.918878, -0.966275, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.064000, -0.007873, -0.007873, 0.421900, -0.919004, -0.966452, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.064000, -0.009859, -0.009859, 0.421997, -0.918910, -0.966639, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.064000, -0.008047, -0.008047, 0.422093, -0.919036, -0.966815, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.064000, -0.010006, -0.010006, 0.422190, -0.918943, -0.967000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.065000, -0.008202, -0.008202, 0.422286, -0.919068, -0.967174, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.065000, -0.010149, -0.010149, 0.422382, -0.918975, -0.967358, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.065000, -0.008327, -0.008327, 0.422477, -0.919100, -0.967530, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
